Date,Description,Amount,Type,Category,Month,Balance,Is_Anomaly,User_ID,Year,Month_Name,Transaction_Type
2024-01-01,Salary,64938,Credit,Salary,1,-496319,True,U001,2024,January,Income
2024-01-01,Swiggy,-15159,Debit,Food,1,-840239,False,U027,2024,January,Expense
2024-01-01,Freelance,33591,Credit,Salary,1,-773130,True,U026,2024,January,Income
2024-01-01,Swiggy,-442,Debit,Food,1,-381125,False,U026,2024,January,Expense
2024-01-01,Freelance,55445,Credit,Salary,1,-211974,True,U044,2024,January,Income
2024-01-01,Uber,-12037,Debit,Travel,1,-1149170,False,U044,2024,January,Expense
2024-01-01,Electricity Bill,-17436,Debit,Bills,1,-177801,False,U025,2024,January,Expense
2024-01-01,Movie,-1559,Debit,Entertainment,1,-771543,False,U023,2024,January,Expense
2024-01-01,Freelance,51027,Credit,Salary,1,-168557,True,U022,2024,January,Income
2024-01-01,Gym,-8976,Debit,Other,1,-1128040,False,U045,2024,January,Expense
2024-01-01,Rent,-15728,Debit,Rent,1,-993274,True,U021,2024,January,Expense
2024-01-01,Ola,-17320,Debit,Travel,1,-718055,False,U021,2024,January,Expense
2024-01-01,Rent,-2559,Debit,Rent,1,-326477,False,U021,2024,January,Expense
2024-01-01,Amazon,-13102,Debit,Shopping,1,-1926938,False,U020,2024,January,Expense
2024-01-01,Freelance,74321,Credit,Salary,1,-287733,True,U037,2024,January,Income
2024-01-01,Swiggy,-8285,Debit,Food,1,-314720,False,U020,2024,January,Expense
2024-01-01,Uber,-5436,Debit,Travel,1,-988945,False,U019,2024,January,Expense
2024-01-01,Water Bill,-18645,Debit,Bills,1,79266,False,U047,2024,January,Expense
2024-01-01,Internet Bill,-11432,Debit,Bills,1,-660294,False,U047,2024,January,Expense
2024-01-01,Salary,66704,Credit,Salary,1,-468402,True,U047,2024,January,Income
2024-01-01,Netflix,-17228,Debit,Entertainment,1,-959404,False,U027,2024,January,Expense
2024-01-01,Uber,-8273,Debit,Travel,1,-271713,False,U028,2024,January,Expense
2024-01-01,Netflix,-11103,Debit,Entertainment,1,-175187,False,U028,2024,January,Expense
2024-01-01,Mall,-4468,Debit,Shopping,1,-1065440,False,U043,2024,January,Expense
2024-01-01,Mall,-9451,Debit,Shopping,1,-49208,False,U036,2024,January,Expense
2024-01-01,Swiggy,-5931,Debit,Food,1,-1116514,False,U040,2024,January,Expense
2024-01-01,Rent,-1665,Debit,Rent,1,-1056505,False,U035,2024,January,Expense
2024-01-01,Rent,-16142,Debit,Rent,1,-174134,False,U035,2024,January,Expense
2024-01-01,Rent,-16060,Debit,Rent,1,-6060,False,U034,2024,January,Expense
2024-01-01,Gym,-8376,Debit,Other,1,-599491,False,U033,2024,January,Expense
2024-01-01,Electricity Bill,-11398,Debit,Bills,1,-449389,False,U033,2024,January,Expense
2024-01-01,Uber,-312,Debit,Travel,1,-222938,False,U032,2024,January,Expense
2024-01-01,Zomato,-13338,Debit,Food,1,-10286,False,U032,2024,January,Expense
2024-01-01,Restaurant,-8152,Debit,Food,1,-444339,False,U047,2024,January,Expense
2024-01-01,Zomato,-2338,Debit,Food,1,-102910,False,U032,2024,January,Expense
2024-01-01,Internet Bill,-12327,Debit,Bills,1,-647983,False,U031,2024,January,Expense
2024-01-01,Swiggy,-3598,Debit,Food,1,-546506,False,U042,2024,January,Expense
2024-01-01,Movie,-3347,Debit,Entertainment,1,-237559,False,U031,2024,January,Expense
2024-01-01,Freelance,66717,Credit,Salary,1,-507179,True,U029,2024,January,Income
2024-01-01,Restaurant,-9672,Debit,Food,1,-272826,False,U029,2024,January,Expense
2024-01-01,Gym,-17945,Debit,Other,1,-289203,False,U029,2024,January,Expense
2024-01-01,Amazon,-9900,Debit,Shopping,1,-219179,False,U043,2024,January,Expense
2024-01-01,Uber,-10959,Debit,Travel,1,-577191,False,U043,2024,January,Expense
2024-01-01,Amazon,-10496,Debit,Shopping,1,-880048,False,U043,2024,January,Expense
2024-01-01,Uber,-763,Debit,Travel,1,-1109439,False,U031,2024,January,Expense
2024-01-01,Gym,-11872,Debit,Other,1,-1169732,False,U017,2024,January,Expense
2024-01-01,Salary,70453,Credit,Salary,1,-1764571,True,U020,2024,January,Income
2024-01-01,Restaurant,-7403,Debit,Food,1,-777382,False,U017,2024,January,Expense
2024-01-01,Zomato,-9565,Debit,Food,1,-335347,False,U011,2024,January,Expense
2024-01-01,Water Bill,-18054,Debit,Bills,1,-562625,False,U010,2024,January,Expense
2024-01-01,Zomato,-13731,Debit,Food,1,-1163390,False,U017,2024,January,Expense
2024-01-01,Ola,-4304,Debit,Travel,1,-891962,False,U050,2024,January,Expense
2024-01-01,Uber,-14411,Debit,Travel,1,-1402027,False,U050,2024,January,Expense
2024-01-01,Amazon,-7393,Debit,Shopping,1,-264005,False,U010,2024,January,Expense
2024-01-01,Zomato,-835,Debit,Food,1,-110621,False,U013,2024,January,Expense
2024-01-01,Freelance,55292,Credit,Salary,1,77899,True,U007,2024,January,Income
2024-01-01,Internet Bill,-1758,Debit,Bills,1,-778937,False,U006,2024,January,Expense
2024-01-01,Rent,-15759,Debit,Rent,1,-703814,False,U006,2024,January,Expense
2024-01-01,Electricity Bill,-18428,Debit,Bills,1,-689390,False,U006,2024,January,Expense
2024-01-01,Mall,-325,Debit,Shopping,1,-613316,False,U005,2024,January,Expense
2024-01-01,Restaurant,-10321,Debit,Food,1,-330240,False,U005,2024,January,Expense
2024-01-01,Electricity Bill,-8898,Debit,Bills,1,-114141,False,U004,2024,January,Expense
2024-01-01,Freelance,72374,Credit,Salary,1,-763322,True,U006,2024,January,Income
2024-01-01,Freelance,30564,Credit,Salary,1,-561284,False,U013,2024,January,Income
2024-01-01,Salary,42380,Credit,Salary,1,-337920,False,U050,2024,January,Income
2024-01-01,Zomato,-4262,Debit,Food,1,-1472102,False,U015,2024,January,Expense
2024-01-01,Swiggy,-7019,Debit,Food,1,-1360813,False,U015,2024,January,Expense
2024-01-01,Rent,-16074,Debit,Rent,1,-1144547,False,U048,2024,January,Expense
2024-01-01,Salary,51769,Credit,Salary,1,-348306,True,U016,2024,January,Income
2024-01-02,Rent,-594,Debit,Rent,1,-80907,False,U013,2024,January,Expense
2024-01-02,Restaurant,-7186,Debit,Food,1,-230827,False,U030,2024,January,Expense
2024-01-02,Internet Bill,-12017,Debit,Bills,1,-753039,False,U006,2024,January,Expense
2024-01-02,Zomato,-150,Debit,Food,1,-449081,False,U006,2024,January,Expense
2024-01-02,Ola,-13027,Debit,Travel,1,-230038,False,U018,2024,January,Expense
2024-01-02,Freelance,48681,Credit,Salary,1,41725,False,U031,2024,January,Income
2024-01-02,Salary,49553,Credit,Salary,1,77480,False,U015,2024,January,Income
2024-01-02,Rent,-5425,Debit,Rent,1,-1365775,False,U005,2024,January,Expense
2024-01-02,Zomato,-17991,Debit,Food,1,-125365,False,U032,2024,January,Expense
2024-01-02,Uber,-18680,Debit,Travel,1,-922673,False,U005,2024,January,Expense
2024-01-02,Mall,-5479,Debit,Shopping,1,-386190,False,U030,2024,January,Expense
2024-01-02,Salary,46566,Credit,Salary,1,-713324,False,U033,2024,January,Income
2024-01-02,Zomato,-8298,Debit,Food,1,-847843,False,U016,2024,January,Expense
2024-01-02,Restaurant,-691,Debit,Food,1,-254882,False,U034,2024,January,Expense
2024-01-02,Gym,-6951,Debit,Other,1,-483008,False,U004,2024,January,Expense
2024-01-02,Netflix,-11516,Debit,Entertainment,1,-122955,False,U018,2024,January,Expense
2024-01-02,Water Bill,-15179,Debit,Bills,1,-8695,False,U035,2024,January,Expense
2024-01-02,Salary,40086,Credit,Salary,1,227287,False,U003,2024,January,Income
2024-01-02,Internet Bill,-19143,Debit,Bills,1,-281504,False,U035,2024,January,Expense
2024-01-02,Rent,-4336,Debit,Rent,1,-11233,False,U003,2024,January,Expense
2024-01-02,Movie,-15650,Debit,Entertainment,1,-202584,False,U032,2024,January,Expense
2024-01-02,Mall,-1337,Debit,Shopping,1,-524909,False,U029,2024,January,Expense
2024-01-02,Ola,-18351,Debit,Travel,1,-188950,False,U029,2024,January,Expense
2024-01-02,Freelance,32253,Credit,Salary,1,-86517,False,U019,2024,January,Income
2024-01-02,Flipkart,-450,Debit,Shopping,1,-109786,False,U013,2024,January,Expense
2024-01-02,Ola,-12695,Debit,Travel,1,-1214511,False,U022,2024,January,Expense
2024-01-02,Swiggy,-7773,Debit,Food,1,-1152909,False,U013,2024,January,Expense
2024-01-02,Freelance,42702,Credit,Salary,1,89302,False,U023,2024,January,Income
2024-01-02,Movie,-7889,Debit,Entertainment,1,-328553,False,U023,2024,January,Expense
2024-01-02,Water Bill,-7175,Debit,Bills,1,-35153,False,U014,2024,January,Expense
2024-01-02,Netflix,-12018,Debit,Entertainment,1,-400780,False,U012,2024,January,Expense
2024-01-02,Amazon,-17854,Debit,Shopping,1,331778,False,U012,2024,January,Expense
2024-01-02,Gym,-8956,Debit,Other,1,-583737,False,U010,2024,January,Expense
2024-01-02,Salary,67987,Credit,Salary,1,-405494,True,U026,2024,January,Income
2024-01-02,Salary,62366,Credit,Salary,1,-703705,True,U026,2024,January,Income
2024-01-02,Zomato,-7751,Debit,Food,1,-46444,False,U010,2024,January,Expense
2024-01-02,Movie,-19034,Debit,Entertainment,1,-705010,False,U020,2024,January,Expense
2024-01-02,Uber,-12349,Debit,Travel,1,-709920,False,U027,2024,January,Expense
2024-01-02,Ola,-7088,Debit,Travel,1,-873614,False,U027,2024,January,Expense
2024-01-02,Movie,-4863,Debit,Entertainment,1,-312907,False,U014,2024,January,Expense
2024-01-02,Gym,-10786,Debit,Other,1,-157107,False,U014,2024,January,Expense
2024-01-02,Electricity Bill,-7251,Debit,Bills,1,-326238,False,U014,2024,January,Expense
2024-01-02,Flipkart,-14091,Debit,Shopping,1,-442871,False,U019,2024,January,Expense
2024-01-02,Water Bill,-6606,Debit,Bills,1,11788,False,U009,2024,January,Expense
2024-01-02,Ola,-17871,Debit,Travel,1,-1251828,False,U008,2024,January,Expense
2024-01-02,Amazon,-2212,Debit,Shopping,1,-239817,False,U008,2024,January,Expense
2024-01-02,Gym,-11149,Debit,Other,1,-739733,False,U007,2024,January,Expense
2024-01-02,Internet Bill,-8159,Debit,Bills,1,-992188,False,U021,2024,January,Expense
2024-01-02,Swiggy,-15364,Debit,Food,1,-439033,False,U037,2024,January,Expense
2024-01-02,Gym,-14424,Debit,Other,1,-553977,False,U002,2024,January,Expense
2024-01-02,Ola,-1820,Debit,Travel,1,-507702,False,U047,2024,January,Expense
2024-01-02,Uber,-4530,Debit,Travel,1,-1179292,False,U050,2024,January,Expense
2024-01-02,Electricity Bill,-11810,Debit,Bills,1,-654289,False,U042,2024,January,Expense
2024-01-02,Flipkart,-16592,Debit,Shopping,1,-1030406,False,U045,2024,January,Expense
2024-01-02,Rent,-7120,Debit,Rent,1,-557258,False,U045,2024,January,Expense
2024-01-02,Electricity Bill,-13341,Debit,Bills,1,-314102,False,U045,2024,January,Expense
2024-01-02,Internet Bill,-7879,Debit,Bills,1,-1481931,False,U050,2024,January,Expense
2024-01-02,Netflix,-8513,Debit,Entertainment,1,-395203,False,U046,2024,January,Expense
2024-01-02,Mall,-8558,Debit,Shopping,1,-682480,False,U049,2024,January,Expense
2024-01-02,Internet Bill,-8412,Debit,Bills,1,-719060,False,U042,2024,January,Expense
2024-01-02,Movie,-17555,Debit,Entertainment,1,-608167,False,U043,2024,January,Expense
2024-01-02,Gym,-3692,Debit,Other,1,-714555,False,U001,2024,January,Expense
2024-01-02,Amazon,-14407,Debit,Shopping,1,-565186,False,U047,2024,January,Expense
2024-01-02,Gym,-12836,Debit,Other,1,-1477279,False,U050,2024,January,Expense
2024-01-02,Freelance,41821,Credit,Salary,1,-1464443,False,U050,2024,January,Income
2024-01-02,Netflix,-18952,Debit,Entertainment,1,-379279,False,U047,2024,January,Expense
2024-01-03,Water Bill,-7301,Debit,Bills,1,-23391,False,U031,2024,January,Expense
2024-01-03,Salary,74086,Credit,Salary,1,-143742,True,U031,2024,January,Income
2024-01-03,Movie,-6290,Debit,Entertainment,1,-464738,False,U016,2024,January,Expense
2024-01-03,Netflix,-6161,Debit,Entertainment,1,-344444,False,U047,2024,January,Expense
2024-01-03,Internet Bill,-16775,Debit,Bills,1,-351105,False,U016,2024,January,Expense
2024-01-03,Uber,-11564,Debit,Travel,1,-670445,False,U021,2024,January,Expense
2024-01-03,Salary,69217,Credit,Salary,1,-748453,True,U047,2024,January,Income
2024-01-03,Movie,-11157,Debit,Entertainment,1,-281509,False,U048,2024,January,Expense
2024-01-03,Rent,-3903,Debit,Rent,1,-256611,False,U032,2024,January,Expense
2024-01-03,Ola,-17193,Debit,Travel,1,-153252,False,U032,2024,January,Expense
2024-01-03,Restaurant,-2365,Debit,Food,1,-1053269,False,U013,2024,January,Expense
2024-01-03,Salary,34741,Credit,Salary,1,-823449,False,U013,2024,January,Income
2024-01-03,Netflix,-4480,Debit,Entertainment,1,-858190,False,U013,2024,January,Expense
2024-01-03,Restaurant,-4894,Debit,Food,1,-485529,False,U013,2024,January,Expense
2024-01-03,Internet Bill,-15454,Debit,Bills,1,-368391,False,U013,2024,January,Expense
2024-01-03,Mall,-10812,Debit,Shopping,1,-70218,False,U013,2024,January,Expense
2024-01-03,Salary,62813,Credit,Salary,1,-63794,True,U013,2024,January,Income
2024-01-03,Mall,-12803,Debit,Shopping,1,-927628,False,U047,2024,January,Expense
2024-01-03,Salary,67785,Credit,Salary,1,-1123670,True,U015,2024,January,Income
2024-01-03,Swiggy,-11430,Debit,Food,1,-899754,False,U017,2024,January,Expense
2024-01-03,Flipkart,-8525,Debit,Shopping,1,-478488,False,U048,2024,January,Expense
2024-01-03,Movie,-4476,Debit,Entertainment,1,-166780,False,U025,2024,January,Expense
2024-01-03,Water Bill,-11460,Debit,Bills,1,-1146671,False,U043,2024,January,Expense
2024-01-03,Netflix,-3790,Debit,Entertainment,1,-853685,False,U027,2024,January,Expense
2024-01-03,Amazon,-18473,Debit,Shopping,1,-39490,False,U044,2024,January,Expense
2024-01-03,Uber,-7359,Debit,Travel,1,-610044,False,U043,2024,January,Expense
2024-01-03,Electricity Bill,-6553,Debit,Bills,1,-103189,False,U028,2024,January,Expense
2024-01-03,Rent,-15263,Debit,Rent,1,-262627,False,U028,2024,January,Expense
2024-01-03,Zomato,-1673,Debit,Food,1,-641816,False,U028,2024,January,Expense
2024-01-03,Zomato,-6823,Debit,Food,1,-663617,False,U028,2024,January,Expense
2024-01-03,Netflix,-6791,Debit,Entertainment,1,-657669,False,U022,2024,January,Expense
2024-01-03,Water Bill,-3873,Debit,Bills,1,104430,False,U002,2024,January,Expense
2024-01-03,Movie,-3743,Debit,Entertainment,1,-1828815,False,U020,2024,January,Expense
2024-01-03,Gym,-15574,Debit,Other,1,-1828855,False,U020,2024,January,Expense
2024-01-03,Uber,-15947,Debit,Travel,1,-565519,False,U029,2024,January,Expense
2024-01-03,Internet Bill,-9674,Debit,Bills,1,-816570,False,U029,2024,January,Expense
2024-01-03,Gym,-14189,Debit,Other,1,-1424893,False,U029,2024,January,Expense
2024-01-03,Restaurant,-18485,Debit,Food,1,-711433,False,U046,2024,January,Expense
2024-01-03,Water Bill,-18826,Debit,Bills,1,-42416,False,U018,2024,January,Expense
2024-01-03,Mall,-6676,Debit,Shopping,1,-81015,False,U018,2024,January,Expense
2024-01-03,Rent,-15330,Debit,Rent,1,-112994,False,U017,2024,January,Expense
2024-01-03,Water Bill,-5742,Debit,Bills,1,-599053,False,U041,2024,January,Expense
2024-01-03,Gym,-19668,Debit,Other,1,-1033447,False,U013,2024,January,Expense
2024-01-03,Ola,-13224,Debit,Travel,1,-929484,False,U038,2024,January,Expense
2024-01-03,Internet Bill,-7656,Debit,Bills,1,-922493,False,U038,2024,January,Expense
2024-01-03,Movie,-9368,Debit,Entertainment,1,-204504,False,U037,2024,January,Expense
2024-01-03,Electricity Bill,-1395,Debit,Bills,1,-713951,False,U038,2024,January,Expense
2024-01-03,Zomato,-7062,Debit,Food,1,-140951,False,U035,2024,January,Expense
